name,standardizedNames
Ae._Stegomyia_denderensis,Aedes_Stegomyia_denderensis
Ae._Stegomyia_desmotes,Aedes_Stegomyia_desmotes
Ae._Stegomyia_dybasi,Aedes_Stegomyia_dybasi
Ae._Stegomyia_flavopictus,Aedes_Stegomyia_flavopictus
Ae._Stegomyia_galloisi,Aedes_Stegomyia_galloisi
Ae._Stegomyia_hensilli,Aedes_Stegomyia_hensilli
Ae._Stegomyia_lilii,Aedes_Stegomyia_lilii
Ae._Stegomyia_luteocephalus,Aedes_Stegomyia_luteocephalus
Ae._Stegomyia_maehleri,Aedes_Stegomyia_maehleri
Ae._Stegomyia_malikuli,Aedes_Stegomyia_malikuli
Ae._Stegomyia_mascarensis,Aedes_Stegomyia_mascarensis
Ae._Stegomyia_metallicus,Aedes_Stegomyia_metallicus
Ae._Stegomyia_palauensis,Aedes_Stegomyia_palauensis
Ae._Stegomyia_pia,Aedes_Stegomyia_pia
Ae._Stegomyia_polynesiensis,Aedes_Stegomyia_polynesiensis
Ae._Stegomyia_pseudalbopictus,Aedes_Stegomyia_pseudalbopictus
Ae._Stegomyia_pseudoscutellaris,Aedes_Stegomyia_pseudoscutellaris
Ae._Stegomyia_riversi,Aedes_Stegomyia_riversi
Ae._Stegomyia_scutellaris,Aedes_Stegomyia_scutellaris
Ae._Stegomyia_simpsoni,Aedes_Stegomyia_simpsoni
Ae._Stegomyia_subalbopictus,Aedes_Stegomyia_subalbopictus
Ae._Stegomyia_tongae,Aedes_Stegomyia_tongae
Ae._Stegomyia_unilineatus,Aedes_Stegomyia_unilineatus
Ae._Stegomyia_w_albus,Aedes_Stegomyia_w-albus
Ae._Stegomyia_wadai,Aedes_Stegomyia_wadai
Ae._Tanakaius_savoryi,Aedes_Tanakaius_savoryi
Ae._Tanakaius_togoi,Aedes_Tanakaius_togoi
Ar._durhami,Armigeres_Armigeres_durhami
Ar._flavus,Armigeres_Leicesteria_flavus
Ar._kesseli,Armigeres_Armigeres_kesseli
Ar._malayi,Armigeres_Armigeres_malayi
Ar._obturbans,Armigeres_Armigeres_obturbans
Ar._subalbatus,Armigeres_Armigeres_subalbatus
Culex_quinquefasciatus,Culex_Culex_quinquefasciatus
Er._quinquevittatus,Eretmapodites_0_quinquevittatus
Hg._equinus,Haemagogus_Haemagogus_equinus
Hg._janthinomys,Haemagogus_Haemagogus_janthinomys
Hg._leucocelaenus,Haemagogus_Conopostegus_leucocelaenus
Hg._mesodentatus,Haemagogus_Haemagogus_mesodentatus
Hz._chengi,Heizmannia_Heizmannia_chengi
Hz._discrepans,Heizmannia_Mattinglyia_discrepans
Hz._lii,Heizmannia_Heizmannia_lii
Hz._menglianensis,Heizmannia_Heizmannia_menglianensis
Hz._proxima,Heizmannia_Heizmannia_proxima
Hz._reidi,Heizmannia_Heizmannia_reidi
Op._fuscus,Opifex_Opifex_fuscus
Ps._ciliata,Psorophora_Psorophora_ciliata
Ps._cingulata,Psorophora_Grabhamia_cingulata
Ps._columbiae,Psorophora_Grabhamia_columbiae
Ps._confinnis,Psorophora_Grabhamia_confinnis
Ps._cyanescens,Psorophora_Jathinosoma_cyanescens
Ps._ferox,Psorophora_Jathinosoma_ferox
Ps._horrida,Psorophora_Jathinosoma_horrida
Ps._howardii,Psorophora_Psorophora_howardii
Ps._insularia,Psorophora_Grabhamia_insularius
Ps._longipalpus,Psorophora_Jathinosoma_longipalpus
Ps._pygmaea,Psorophora_Grabhamia_pygmaea
Ps._signipennis,Psorophora_Grabhamia_signipennis
Ud._subsimilis,Udaya_0_subsimilis
Ve._butleri,Verrallina_Verrallina_butleri
Ve._indica,Verrallina_Neomacleaya_indica
Ve._lugubris,Verrallina_Verrallina_lugubris
Ve._nobukonis,Verrallina_Harbachius_nobukonis
Ve._pseudomediofasciata,Verrallina_Neomacleaya_pseudomediofasciata
Ze._gracilis,Zeugnomyia_0_gracilis
